"AGE","ESPAC","ESPECIE","B4_mean","B4_max","B4_min","B4_sd","NDVI_mean","NDVI_max","NDVI_min","NDVI_sd","MSR_mean","MSR_max","MSR_min","MSR_sd"
0,"5X1.5","DUNNI",682.470383275261,1068,217,154.072853639462,0.574640551684088,0.84539,0.35824,0.111323221622287,1.99177449477352,3.45478,1.45479,0.375561918409393
0,"5X1.5","SALIGNA",456.122237370838,1079,99.5,350.772076665335,0.738523778702641,0.94243,0.35731,0.193932916941878,3.3450974598163,5.80843,1.45325,1.44048253366182
0,"6X1.25","SALIGNA",601.377984527144,1079,100,277.110714624362,0.612595477746654,0.92396,0.35724,0.173241121406364,2.30227929082744,5.03011,1.45313,0.828641571602669
0,"6X1.25","UROPHYLLA",690.849336686886,1079,100.5,316.310758343023,0.598245627065148,0.93538,0.35723,0.193616985545514,2.3315418380431,5.47281,1.45311,0.961276614171518
1,"2.50x3.60","SALIGNA",279.067080378251,1026,100,166.413906740029,0.847182490149724,0.94243,0.43917,0.0907115913800675,3.8792384357762,5.80842,1.60191,1.00805585885037
1,"2.70x2.70","GLOBULUS X UROPHYLLA",381.897160349095,1076,100,197.238992328716,0.765571349485476,0.94239,0.3619,0.108983364125249,2.95703387846815,5.8064,1.46093,0.689809429240839
1,"3.00x1.33","SALIGNA",311.425560121968,1078,100,225.459104502871,0.833096700251889,0.94226,0.37791,0.118039295228559,3.76398948694154,5.79982,1.48827,0.979650444159233
1,"3.00x1.70","SALIGNA",357.80465042708,1076,100,250.18684544442,0.805749674153749,0.94215,0.36143,0.141414629102836,3.61081436887061,5.7939,1.46014,1.14970831027758
1,"3.00x1.80","DUNNI",548.293280114381,1079,195,195.761271232857,0.649853691171214,0.89955,0.35785,0.117698949859291,2.28777090075062,4.34856,1.45414,0.512190678130167
1,"3.00x1.80","SALIGNA",373.593515936799,1074,105,138.846588503023,0.779687311245968,0.9367,0.40715,0.0784729357295951,2.98488345361106,5.53116,1.54063,0.584865761773335
1,"3.00x2.00","SALIGNA",413.206184602542,1079.5,99.5,203.509026857957,0.754313203557909,0.94244,0.35745,0.123294166068864,2.98495521654025,5.80892,1.45348,0.919575171677966
1,"3.00x2.00","UROPHYLLA",306.907629625495,1076,100,177.135545282394,0.832179646704247,0.94244,0.40919,0.0992018643908436,3.72131593793604,5.80933,1.5444,1.03629922437113
1,"3.00x2.50","BENTHAMII",576.023575326818,1078,101,268.025449928671,0.633661660743749,0.9372,0.35723,0.176134279872049,2.41072226043914,5.55393,1.45312,0.882125902735854
1,"3.00x2.50","DUNNI",632.326441991373,1078,112,219.06179334781,0.593230644345347,0.9381,0.35723,0.141301085225841,2.11798424709409,5.59576,1.45311,0.581342135164078
1,"3.00x2.50","GLOBULUS X UROPHYLLA",162.122636688809,405,106,28.3648949124083,0.907452677567706,0.94099,0.78679,0.0166789361203624,4.59160646397547,5.73506,2.89487,0.399974848216859
1,"3.00x2.50","HIBRIDO",375.441217214629,1078,100,206.660204860313,0.7735525175471,0.94232,0.36396,0.123826287128232,3.12916887790912,5.80278,1.4644,0.899579437488069
1,"3.00x2.50","SALIGNA",407.004308269043,1079.5,99.5,216.619577892291,0.757515380308024,0.94244,0.35728,0.12870594743723,3.047618074428,5.80928,1.45319,0.983838408489766
1,"3.00x2.50","UROPHYLLA",423.731108274059,1078.5,99.5,227.388274593886,0.742086472855493,0.94244,0.35728,0.157235799538654,3.10182360009727,5.80917,1.4532,1.18326751415558
1,"3.00x2.50","UROPHYLLA X GRANDIS",535.84161202589,1079,111,234.303298305608,0.673522134890683,0.94236,0.35725,0.160172328389127,2.56846786658514,5.80483,1.45315,0.906517617661851
1,"3.00x3.00","GRANDIS",230.995755517827,979,103,106.544477788667,0.836373582342954,0.91067,0.49679,0.0552723315219549,3.46155969439728,4.62491,1.72466,0.49521350299325
1,"3.00x3.00","SALIGNA",389.54664837642,1079,99.5,176.741553294094,0.769616712190688,0.94243,0.35733,0.104366086814447,3.01277482756219,5.80884,1.45327,0.791119199182238
1,"3.5X2","SALIGNA",426.396127905464,1078,99.5,184.674989476805,0.727157516025343,0.94244,0.35736,0.122567914180837,2.78069160866576,5.80892,1.45333,0.868195710506098
1,"3.5X2","UROPHYLLA X GLOBULUS",543.854318734793,1078,234,166.401502895531,0.69275300486618,0.86734,0.46077,0.0746571878690911,2.40234562854826,3.75188,1.64589,0.330360193931726
1,"3.5x2.14","BENTHAMII",467.177410574183,1079,100,236.954311305175,0.707358666218336,0.9379,0.35734,0.140035727475597,2.67763318634515,5.58634,1.45329,0.801517236546411
1,"3.5x2.14","DUNNI",545.92078653829,1079,99.5,243.943665000829,0.679325106012236,0.94232,0.35727,0.13686359283259,2.5204554293273,5.80282,1.45318,0.782498522905941
1,"3.5x2.14","GLOBULUS X UROPHYLLA",566.196624803768,1078,136,228.616307561639,0.644229297226583,0.92324,0.35736,0.145387513328777,2.34466655363684,5.00551,1.45333,0.687627319891994
1,"3.5x2.14","GRANDIS X UROPHYLLA",327.415462516982,1078,101,174.472543247212,0.826379550862459,0.94225,0.3574,0.0863453575748594,3.50609063068626,5.7994,1.4534,0.797242808922588
1,"3.5x2.14","SALIGNA",446.017761659972,1079.5,99.5,221.615183415739,0.734423529121174,0.94244,0.35724,0.13142201695342,2.87193916740398,5.80928,1.45313,0.933484859036762
1,"3.5x2.14","UROPHYLLA",416.657515732744,1079,100,254.772200737388,0.758505807809467,0.94244,0.35723,0.151990219307016,3.18574426060286,5.80907,1.45311,1.11948451426434
1,"3.5x2.14","UROPHYLLA X GRANDIS",421.812477969686,1078,172,190.660914333897,0.739368149453648,0.90386,0.37305,0.105851017317025,2.73752459816708,4.44998,1.47988,0.562291191282904
1,"3.5x2.14","UROPHYLLA X MAIDENII",396.160335810625,1017,107,174.466104131279,0.740539014588494,0.91928,0.40855,0.096316812794793,2.75026266996972,4.87603,1.54322,0.619712627650261
1,"3.5x2.60","SALIGNA",447.723801571614,1079.5,100,218.28207803123,0.73952646357732,0.94244,0.35723,0.134647741807627,2.92531647326602,5.80913,1.45312,0.964878157564038
1,"3.5x2.60","UROPHYLLA X GLOBULUS",538.459306075068,1056,117,208.146647546417,0.664085421127306,0.93054,0.3591,0.131646646158846,2.41435224171289,5.27208,1.45623,0.687187692221673
1,"3.6X2","SALIGNA",453.761116597986,1079,99.5,220.35566676727,0.724602768563612,0.94243,0.35726,0.136048950545954,2.82085370046203,5.80847,1.45316,0.936348888695179
1,"3.6X2","UROPHYLLA",250.80584471915,1074,113,98.0354639243003,0.866452585122533,0.94242,0.49077,0.0628481592458452,4.01128866948601,5.80795,1.711,0.84825896304091
1,"3.80x2.35","DUNNI",585.055348699764,1079,111,211.426941476258,0.627353686761229,0.9193,0.35723,0.139494346872337,2.24641969799054,4.87686,1.45312,0.605365217124135
1,"3.80x2.35","SALIGNA",538.887489558568,1078,101,196.756497469928,0.66402111546617,0.89636,0.35727,0.10994606670137,2.32623620574439,4.27764,1.45318,0.452867456532781
1,"3.90x2.32","SALIGNA",631.078127072556,1079,163,187.887641206428,0.563368657646903,0.8311,0.35746,0.107649936438462,1.94923360259981,3.29263,1.45349,0.337531238150292
1,"3X2.2","SALIGNA",323.75684614367,1078,99.5,146.429504340638,0.793280728932398,0.94244,0.36146,0.102242968761932,3.19618391586189,5.80928,1.46019,0.774805507064989
1,"3X2.25","SALIGNA",285.994985551589,1078,99.5,131.368401440621,0.839908428600127,0.94243,0.41109,0.070437196163289,3.61568353097523,5.80854,1.54794,0.761280242482691
1,"4.00x1.50","SALIGNA",180.295792079208,648,100,43.1644128441157,0.889540128712871,0.94222,0.61657,0.0315348365882856,4.25542840924092,5.79778,2.0533,0.59629854257864
1,"4.00x2.00","SALIGNA",422.473626043287,1074,101,129.080860726933,0.721556347078795,0.932,0.37256,0.0857891072269586,2.5900558241972,5.33017,1.47904,0.488690496622817
1,"4.00x2.00","UROPHYLLA",323.189212777099,978,117.5,150.054664747289,0.804864978181183,0.9411,0.3706,0.112148889762067,3.34883075056729,5.74066,1.47568,0.821259088384017
1,"4.54X1.6","SALIGNA",776.723431881742,1079,229,160.218671339025,0.509344428685578,0.82066,0.35741,0.0843131201253869,1.78117065721135,3.18626,1.45341,0.232924779852463
1,"4.54X1.6","UROPHYLLA",347.184733949113,941,100,161.307554636413,0.788641585538618,0.94243,0.42428,0.115882610118923,3.39225331671106,5.80873,1.57287,1.22590808500211
1,"4X1.7","SALIGNA",386.025954722159,1078,100,227.785178279371,0.763776446375486,0.93645,0.40987,0.116759634495311,3.03796080265264,5.52002,1.54567,0.893084193751566
1,"4X1.85","BENTHAMII",614.313784188325,1078,140,204.497907031397,0.584083369165873,0.91346,0.35724,0.16177934275476,2.14663613348755,4.70233,1.45313,0.710383698098905
1,"4X1.85","GLOBULUS X UROPHYLLA",299.240297833935,816,100,137.984457104558,0.749809711191336,0.92938,0.37368,0.0819094667562656,2.77491030234657,5.22696,1.48097,0.574336595024497
1,"4X1.85","SALIGNA",425.324173847082,1079,99.5,230.13878205783,0.744820845797755,0.94244,0.35728,0.132769813490915,2.94865391681092,5.80917,1.45319,0.942434511709708
