ID,Genero,Idade,Escolaridade,Ocupacao,Interesse _no_curso,experiencia_pecuaria,tempo_trabalha_pecuaria,familiarizado_com_Inseminacao,inseminou,simulador,Gps,questao_1,questao_2,questao_3,questao_4,questao_5,questao_6,questao_7,questao_8,questao_9,questao_10,questao_11,questao_12,questao_13,questao_14,questao_15,questao_16,questao_17,questao_18,questao_19,questao_20,questao_21,questao_22,,questao_24,questao_25,questao_26,questao_27,questao_28,questao_29,questao_30,questao_31,questao_32,questao_33,questao_34,questao_35,questao_36,questao_37,questao_38,questao_39,questao_40,questao_41,questao_42,questao_43,questao_44,questao_45,questao_46,questao_47,questao_48,questao_49,questao_50,questao_51,questao_52,questao_53,questao_54,questao_55
A40,1,18,Ensino_medio_completo,Desempregado,aprender,0,NA,0,0,Com_simulador,Gp_2,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,achou_facil_identificar_estruturas,dificuldade_identica,P,P,P,P,P,,P,P,P,P,P,P,P,P,P,P,P,manequim,manequim,P,NG,NT,P,NG,manequim,P,P,P,P,P,P,P,P,5,5,4,1,4
A41,2,17,Ensino_médio_incompleto ,Estudante,aprender,0,NA,1,0,Com_simulador,Gp_2,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,achou_facil_identificar_estruturas,mais_dificil_que_peça,P,P,P,P,P,,P,P,P,P,P,P,P,P,P,P,P,manequim,manequim,P,P,P,P,NT,manequim,P,P,P,P,P,P,P,P,5,5,5,1,4
A42,1,43,Ensino_medio_completo,Assistente_administrativo,aperfeicoar,1,7,0,0,Com_simulador,Gp_2,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,teve_alguma_dificuldade,mais_dificil_que_peça,P,P,P,P,P,,P,P,P,P,P,P,P,P,P,NT,P,manequim,manequim,P,P,P,P,P,peças,P,P,P,P,P,P,P,P,4,4,4,1,1
A43,1,27,Ensino_Superior_Completo,Autônomo,aperfeicoar,1,15,0,0,Com_simulador,Gp_2,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,achou_facil_identificar_estruturas,dificuldade_identica,NG,P,P,P,P,,P,P,P,NT,P,NT,P,NT,NT,P,P,manequim,manequim,P,NG,NG,P,NG,manequim,P,P,P,P,P,P,P,P,5,5,5,1,5
A44,1,25,Ensino_Superior_Completo,Produtor_rural,aprender,1,10,0,0,Com_simulador,Gp_1,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,achou_facil_identificar_estruturas,dificuldade_identica,P,P,P,P,P,,P,P,P,P,P,P,P,P,P,P,P,manequim,peças,P,NG,P,P,P,manequim,P,P,P,P,P,P,P,P,4,5,5,1,4
A45,1,24,Ensino_Superior_Completo,Produtor_rural,melhorar_genetica,1,8,0,0,Com_simulador,Gp_1,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,teve_alguma_dificuldade,mais_dificil_que_peça,P,P,P,P,P,,NT,P,P,P,NT,NG,NT,P,P,NT,P,sem_opnião,sem_opnião,P,P,NG,P,P,sem_opnião,P,P,P,P,P,P,P,P,5,5,5,1,4
A46,2,31,Ensino_Superior_Completo,Zootecnista ,aprender,1,9,1,0,Com_simulador,Gp_2,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,teve_alguma_dificuldade,dificuldade_identica,P,P,P,P,P,,NT,P,NT,NG,P,NT,NT,P,P,P,P,manequim,manequim,P,NT,NT,NT,NT,manequim,NG,P,P,P,P,P,P,P,4,4,4,1,3
A47,1,26,Ensino_medio_completo,Assistente_administrativo,aprender,1,3,1,0,Com_simulador,Gp_1,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,outro,dificuldade_identica,P,P,P,P,P,,P,P,NT,P,P,P,P,P,P,P,P,manequim,sem_opnião,P,P,P,P,P,sem_opnião,P,P,P,P,P,P,P,P,5,4,4,1,5
A48,1,23,Ensino_Superior_Incompleto,Assistente_administrativo,aprender,1,2,1,0,Com_simulador,Gp_2,P,P,P,P,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,teve_alguma_dificuldade,dificuldade_identica,P,P,P,P,P,,P,P,P,P,P,P,P,P,P,P,P,manequim,manequim,P,NT,NT,P,NG,manequim,P,P,P,P,P,P,P,P,5,5,5,1,5
A49,2,39,Ensino_Superior_Completo,Produtor_rural,aprender,1,1,0,0,Com_simulador,Gp_1,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,achou_facil_identificar_estruturas,dificuldade_identica,P,P,P,P,P,,P,P,P,P,P,P,P,P,P,P,P,manequim,manequim,P,P,P,P,P,manequim,P,P,P,P,P,P,P,P,5,5,5,1,3
