"OBJECTID","CD_USO_SOL","CD_UNIDADE","ID_REGIAO","ID_PROJETO","PROJETO","CD_TALHAO","CARACTERIS","CARACTER_1","CICLO","ROTACAO","DATA_PLANT","LOCALIDADE","BACIA_HIDR","TIP_SOLO","ESPACAMENT","ESPECIE","SISTEMA_PR","MATERIAL_G","REGIME","DECLIVIDAD","TIPO_USO_S","DATA_REG","EST_REG","TIP_REG","VLR_AREA","PROJETO_IN","TIPOLOGIA","BIOMA","REGISTRO_S","TIPO_PRESE","SHAPE_AREA","SHAPE_LEN"
"502964",176204,1,11,"282","TAQUAREMBO","V00308","Campo Úmido","APP",0,0,NA,"DOM PEDRITO","SANTA MARIA","NAOID",NA,NA,NA,NA,NA,0,"Propria","2016/06/20","A","A",3.34,NA,"EGL Estepe Gramineo-Lenhosa","PAMPA",NA,NA,3.15129063396e-06,0.0431496874379
"502973",176171,1,11,"282","TAQUAREMBO","E00302","Aceiro","Rede Viária",0,0,NA,"DOM PEDRITO","SANTA MARIA","NAOID",NA,NA,NA,NA,NA,0,"Propria","2016/06/20","A","A",0.89,NA,"EGL Estepe Gramineo-Lenhosa","PAMPA",NA,NA,8.3636928561e-07,0.0189267459476
"502975",176173,1,11,"282","TAQUAREMBO","V00602","Campo Seco","RL",0,0,NA,"DOM PEDRITO","SANTA MARIA","RRD1",NA,NA,NA,NA,NA,0,"Propria","2016/06/20","A","A",0.63,NA,"EGL Estepe Gramineo-Lenhosa","PAMPA",NA,NA,5.96727703669e-07,0.0109865622422
"502976",176174,1,11,"282","TAQUAREMBO","V00702","Campo Seco","RL",0,0,NA,"DOM PEDRITO","SANTA MARIA","PVD2",NA,NA,NA,NA,NA,0,"Propria","2016/06/20","A","A",0.25,NA,"EGL Estepe Gramineo-Lenhosa","PAMPA",NA,NA,2.40195529465e-07,0.0111726207832
"502977",176183,1,11,"282","TAQUAREMBO","V00209","Afloramento Rochoso","APP",0,0,NA,"DOM PEDRITO","SANTA MARIA",NA,NA,NA,NA,NA,NA,0,"Propria","2016/06/20","A","A",0.21,NA,"EGL Estepe Gramineo-Lenhosa","PAMPA",NA,NA,1.96914718347e-07,0.00465427585371
"502978",176175,1,11,"282","TAQUAREMBO","V00502","Campo Seco","RL",0,0,NA,"DOM PEDRITO","SANTA MARIA","NAOID",NA,NA,NA,NA,NA,0,"Propria","2016/06/20","A","A",0.67,NA,"EGL Estepe Gramineo-Lenhosa","PAMPA",NA,NA,6.34252935867e-07,0.0142341250717
"502967",176166,1,11,"282","TAQUAREMBO","V00301","Florestal (inicial)","RL",0,0,NA,"DOM PEDRITO","SANTA MARIA","NAOID",NA,NA,NA,NA,NA,0,"Propria","2016/06/20","A","A",1.54,NA,"EGL Estepe Gramineo-Lenhosa","PAMPA",NA,NA,1.45254406893e-06,0.026317054331
"502969",176168,1,11,"282","TAQUAREMBO","E00602","Aceiro","Rede Viária",0,0,NA,"DOM PEDRITO","SANTA MARIA","RRD1",NA,NA,NA,NA,NA,0,"Propria","2016/06/20","A","A",0.1,NA,"EGL Estepe Gramineo-Lenhosa","PAMPA",NA,NA,9.86497658275e-08,0.00240199040256
"502970",176169,1,11,"282","TAQUAREMBO","E00502","Aceiro","Rede Viária",0,0,NA,"DOM PEDRITO","SANTA MARIA","RRD1",NA,NA,NA,NA,NA,0,"Propria","2016/06/20","A","A",0.7,NA,"EGL Estepe Gramineo-Lenhosa","PAMPA",NA,NA,6.57116874377e-07,0.0114447885356
"502999",176195,1,11,"282","TAQUAREMBO","V00406","Florestal (avançado)","APP",0,0,NA,"DOM PEDRITO","SANTA MARIA",NA,NA,NA,NA,NA,NA,0,"Propria","2016/06/20","A","A",1.19,NA,"EGL Estepe Gramineo-Lenhosa","PAMPA",NA,NA,1.12507249185e-06,0.0132914321352
"503000",176196,1,11,"282","TAQUAREMBO","V00505","Florestal (avançado)","APP",0,0,NA,"DOM PEDRITO","SANTA MARIA",NA,NA,NA,NA,NA,NA,0,"Propria","2016/06/20","A","A",0.02,NA,"EGL Estepe Gramineo-Lenhosa","PAMPA",NA,NA,2.1625250901e-08,0.000559390184961
"503001",176197,1,11,"282","TAQUAREMBO","V00706","Florestal (avançado)","APP",0,0,NA,"DOM PEDRITO","SANTA MARIA",NA,NA,NA,NA,NA,NA,0,"Propria","2016/06/20","A","A",0.11,NA,"EGL Estepe Gramineo-Lenhosa","PAMPA",NA,NA,1.03599374555e-07,0.00176590686168
"502966",176165,1,11,"282","TAQUAREMBO","V00401","Florestal (inicial)","RL",0,0,NA,"DOM PEDRITO","SANTA MARIA","PVD2",NA,NA,NA,NA,NA,0,"Propria","2016/06/20","A","A",2.55,NA,"EGL Estepe Gramineo-Lenhosa","PAMPA",NA,NA,2.40991592103e-06,0.0358821716121
"502971",176206,1,11,"282","TAQUAREMBO","V00507","Campo Úmido","APP",0,0,NA,"DOM PEDRITO","SANTA MARIA","RRD1",NA,NA,NA,NA,NA,0,"Propria","2016/06/20","A","A",4.96,NA,"EGL Estepe Gramineo-Lenhosa","PAMPA",NA,NA,4.68499104437e-06,0.0383098341956
"502972",176170,1,11,"282","TAQUAREMBO","E00402","Aceiro","Rede Viária",0,0,NA,"DOM PEDRITO","SANTA MARIA","NAOID",NA,NA,NA,NA,NA,0,"Propria","2016/06/20","A","A",0.67,NA,"EGL Estepe Gramineo-Lenhosa","PAMPA",NA,NA,6.36502135073e-07,0.0111163504834
"502965",176205,1,11,"282","TAQUAREMBO","V00407","Campo Úmido","APP",0,0,NA,"DOM PEDRITO","SANTA MARIA","PVD2",NA,NA,NA,NA,NA,0,"Propria","2016/06/20","A","A",1.2,NA,"EGL Estepe Gramineo-Lenhosa","PAMPA",NA,NA,1.1316816676e-06,0.0214192988445
"502979",176176,1,11,"282","TAQUAREMBO","V00402","Campo Seco","RL",0,0,NA,"DOM PEDRITO","SANTA MARIA","PVD2",NA,NA,NA,NA,NA,0,"Propria","2016/06/20","A","A",1.07,NA,"EGL Estepe Gramineo-Lenhosa","PAMPA",NA,NA,1.00908153385e-06,0.0180972621632
"502983",176207,1,11,"282","TAQUAREMBO","E00702","Aceiro","Rede Viária",0,0,NA,"DOM PEDRITO","SANTA MARIA","PVD2",NA,NA,NA,NA,NA,0,"Propria","2016/06/20","A","A",1.61,NA,"EGL Estepe Gramineo-Lenhosa","PAMPA",NA,NA,1.51551644685e-06,0.0340838885141
"502985",176184,1,11,"282","TAQUAREMBO","V00309","Afloramento Rochoso","APP",0,0,NA,"DOM PEDRITO","SANTA MARIA","NAOID",NA,NA,NA,NA,NA,0,"Propria","2016/06/20","A","A",0.18,NA,"EGL Estepe Gramineo-Lenhosa","PAMPA",NA,NA,1.6540820545e-07,0.00451789913027
"502986",176185,1,11,"282","TAQUAREMBO","V00707","Afloramento Rochoso","APP",0,0,NA,"DOM PEDRITO","SANTA MARIA",NA,NA,NA,NA,NA,NA,0,"Propria","2016/06/20","A","A",0.01,NA,"EGL Estepe Gramineo-Lenhosa","PAMPA",NA,NA,1.23064413775e-08,0.000536053086355
"502987",176186,1,11,"282","TAQUAREMBO","V00508","Afloramento Rochoso","APP",0,0,NA,"DOM PEDRITO","SANTA MARIA",NA,NA,NA,NA,NA,NA,0,"Propria","2016/06/20","A","A",0.02,NA,"EGL Estepe Gramineo-Lenhosa","PAMPA",NA,NA,2.15584671955e-08,0.000616429359017
"502988",176187,1,11,"282","TAQUAREMBO","V00205","Florestal (inicial)","APP",0,0,NA,"DOM PEDRITO","SANTA MARIA","RRD1",NA,NA,NA,NA,NA,0,"Propria","2016/06/20","A","A",1.79,NA,"EGL Estepe Gramineo-Lenhosa","PAMPA",NA,NA,1.69039336631e-06,0.030583074224
"502980",176177,1,11,"282","TAQUAREMBO","V00302","Campo Seco","RL",0,0,NA,"DOM PEDRITO","SANTA MARIA","NAOID",NA,NA,NA,NA,NA,0,"Propria","2016/06/20","A","A",1.66,NA,"EGL Estepe Gramineo-Lenhosa","PAMPA",NA,NA,1.57052601094e-06,0.0461231819727
"502982",176179,1,11,"282","TAQUAREMBO","V00403","Florestal (avançado)","RL",0,0,NA,"DOM PEDRITO","SANTA MARIA","PVD2",NA,NA,NA,NA,NA,0,"Propria","2016/06/20","A","A",0.23,NA,"EGL Estepe Gramineo-Lenhosa","PAMPA",NA,NA,2.17630457982e-07,0.00511550409711
"502945",176151,1,11,"282","TAQUAREMBO","H00301","Lago Artificial","Recursos Hídricos",0,0,NA,"DOM PEDRITO","SANTA MARIA",NA,NA,NA,NA,NA,NA,0,"Propria","2016/06/20","A","A",0.2,NA,"EGL Estepe Gramineo-Lenhosa","PAMPA",NA,NA,1.88400269119e-07,0.0017168401417
"502946",176152,1,11,"282","TAQUAREMBO","E00701","Estrada Secundária","Rede Viária",0,0,NA,"DOM PEDRITO","SANTA MARIA","RRD1",NA,NA,NA,NA,NA,0,"Propria","2016/06/20","A","A",0.81,NA,"EGL Estepe Gramineo-Lenhosa","PAMPA",NA,NA,7.63754194555e-07,0.0179835719122
