"STAND","COMPANY","SPACING","SPECIES","AGE","STATS","B2","B3","B4","B8"
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",2,"SD",43.3062895994004,62.2004737253071,86.2271173612444,554.196878628065
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",2,"MIN",105,155,100,1388
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",2,"MAX",455,719,896,4720
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",2,"MEAN",208.812147175447,357.488710764989,255.615239719328,3125.20593792359
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",2,"SD",41.7220865246896,58.4629947092699,81.4810167972232,584.365274006954
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",2,"MIN",133,221,158,1451
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",2,"MAX",485,742,952,4765
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",2,"MEAN",236.453203353516,383.651775830842,307.918929461555,3087.44628206633
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",2,"SD",42.3944396165297,57.9691552772775,89.8667553865363,541.745187550447
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",2,"MIN",148,235,145,1457
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",2,"MAX",477,709,943,4617
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",2,"MEAN",224.997590494535,404.401297726964,318.291338437711,2963.25787691961
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",2,"SD",56.0510704783033,74.2441957928695,118.395977450932,411.000530326899
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",2,"MIN",148,259,165,1698
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",2,"MAX",585,914,1092,4688
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",2,"MEAN",225.097732257225,385.220718294981,279.947888403305,2967.2800929282
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",2,"SD",53.9604771188043,63.3169464438695,110.795529298101,396.516737646756
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",2,"MIN",138,230,133,1549
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",2,"MAX",572,804,1024,4776
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",3,"MEAN",147.510782939689,267.693870834858,174.263591152719,3052.42588757022
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",3,"SD",36.3681369162236,48.2571366720979,70.7436792578351,691.225000020655
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",3,"MIN",50,100,66,947
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",3,"MAX",382,570,822,4120
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",3,"MEAN",132.950267991319,251.905903863723,161.947968950289,3058.57584303924
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",3,"SD",38.8460085974823,48.8453304747844,76.0246685868879,702.193736596332
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",3,"MIN",30,79,45,953
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",3,"MAX",451,597,900,4093
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",3,"MEAN",151.327002340465,299.447293506302,222.859578992426,2961.11091204499
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",3,"SD",39.9473564069491,50.129540817424,77.7232341030115,661.298116857375
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",3,"MIN",60,144,111,974
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",3,"MAX",437,639,977,3989
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",3,"MEAN",213.045229432328,334.765198640367,257.66405119106,2947.39449035622
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",3,"SD",39.8338066619859,48.0717290007481,83.449634866183,641.27003934784
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",3,"MIN",114,192,140,1152
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",3,"MAX",474,667,954,4020
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",3,"MEAN",114.224166856527,280.643847706367,229.84750845168,3014.1191865215
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",3,"SD",48.4205851453121,57.319779156877,103.207726721161,657.078628423581
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",3,"MIN",1,101,102,1206
"MA02ABOG0A","KLABIN","3.85x1.95","EUCALYPTUS",3,"MAX",467,692,1106,4056
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",1,"MEAN",140.027057796501,265.123548134566,150.534949578706,3437.39721987597
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",1,"SD",40.4446002028951,62.7525970037782,83.2201643807275,789.948899470901
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",1,"MIN",50,93,52,1423
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",1,"MAX",611,924,1308,5245
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",1,"MEAN",100.195130920253,238.917097144681,140.770887239653,3626.65242681444
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",1,"SD",39.6952885359792,61.0874218660043,78.6239949165663,900.603430393735
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",1,"MIN",20,61,32,1166
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",1,"MAX",475,863,1280,5725
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",1,"MEAN",114.580788663192,242.905863857357,151.24555633382,3437.83863872808
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",1,"SD",35.0375558930695,56.5155096350177,63.6408472583357,903.81511188912
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",1,"MIN",17,51,44,758
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",1,"MAX",436,722,1026,5710
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",1,"MEAN",83.2529166065799,204.244087472445,135.915795152551,3330.10830483508
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",1,"SD",36.5069910291272,53.2435745150241,64.7431074470264,852.993226308121
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",1,"MIN",1,23,17,731
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",1,"MAX",459,876,1206,5315
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",1,"MEAN",134.716995426546,250.533329298943,181.587149008055,3219.45511938361
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",1,"SD",42.686621396009,59.5116489117069,90.0037213229664,889.742484953769
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",1,"MIN",37,65,60,889
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",1,"MAX",532,907,1096,5048
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",1,"MEAN",178.456636142642,288.966488380956,217.99464550586,3117.81337323087
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",1,"SD",42.4302064780301,58.2914910433405,93.0667754014722,830.31993749349
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",1,"MIN",86,106,98,995
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",1,"MAX",599,1008,1392,4908
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",1,"MEAN",158.500833831194,336.134219525761,292.422485630703,2955.05442512514
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",1,"SD",52.150242619097,65.5781118846939,114.73431616516,691.174263342624
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",1,"MIN",45,145,121,1267
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",1,"MAX",516,847,1272,4764
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",1,"MEAN",216.638150738551,343.875018283512,257.804604612595,2904.03274396901
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",1,"SD",47.0740735110992,60.7431923403879,103.575097748329,601.537521991617
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",1,"MIN",120,184,121,1374
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",1,"MAX",630,952,1290,4460
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",1,"MEAN",218.283596856265,360.252941842977,281.399745575904,2856.05807358727
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",1,"SD",48.1860141337489,62.4737499721622,104.498883780361,562.92088639333
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",1,"MIN",120,195,147,1451
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",1,"MAX",610,867,1238,4404
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",1,"MEAN",183.808394450052,323.036842566077,234.723095682,2979.2347942976
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",1,"SD",51.4551723125529,66.1996266331714,106.912111594982,600.381425266109
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",1,"MIN",92,170,89,1427
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",1,"MAX",599,996,1268,4528
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",1,"MEAN",209.242929688304,361.068251838652,270.299624801714,2946.69206263776
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",1,"SD",49.9453456340289,66.1704364891747,102.964492136108,537.449189818805
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",1,"MIN",119,218,135,1549
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",1,"MAX",708,893,1346,4484
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",1,"MEAN",233.172565975155,369.192212253558,279.734706227724,2901.95069631857
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",1,"SD",49.6510837229371,64.1767907607809,105.342598927421,520.191143653762
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",1,"MIN",143,234,138,1534
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",1,"MAX",706,1108,1556,4460
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",2,"MEAN",195.884430429945,333.870646721328,202.872496188788,3210.74076837106
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",2,"SD",39.5082006736429,57.1638869300582,69.6187394894584,550.947342997889
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",2,"MIN",114,176,89,1440
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",2,"MAX",771,942,1288,4670
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",2,"MEAN",130.708380801796,285.751330833727,174.131109010939,3349.73978492408
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",2,"SD",33.2150960467759,49.6096807185151,60.1855987147735,640.087079722901
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",2,"MIN",48,112,59,1395
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",2,"MAX",433,811,1220,5137
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",2,"MEAN",131.671924764632,279.098732514781,175.092211223501,3277.80046378318
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",2,"SD",31.4591998601325,48.4359171739739,55.4025573056619,651.820633727109
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",2,"MIN",43,112,63,1296
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",2,"MAX",464,727,917,4907
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",2,"MEAN",135.809204074905,269.558087235532,156.028851383366,3282.57759806143
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",2,"SD",31.3240029539015,48.0380641287937,54.451049645291,671.81808319858
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",2,"MIN",50,89,45,1219
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",2,"MAX",407,847,845,4944
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",2,"MEAN",143.504905131744,290.503937650645,181.034304505469,3357.21459024329
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",2,"SD",57.8574807661909,69.0300358038351,71.9103525465496,709.609444528372
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",2,"MIN",42,102,44,912
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",2,"MAX",984,1068,935,5172
