"STAND","DATE","STATUS","SAVI_MAX","MSR_SD","GCI_SD"
"RINCAODOSSOARES_013A",2022-05-20,"healthy",0.499394264500553,0.792738720451542,0.525325932159203
"RINCAODOSSOARES_013A",2022-05-22,"healthy",0.499394264500553,0.792738720451542,0.525325932159203
"RINCAODOSSOARES_013A",2022-06-11,"healthy",0.499394264500553,0.792738720451542,0.525325932159203
"RINCAODOSSOARES_013A",2022-06-19,"healthy",0.499394264500553,0.792738720451542,0.525325932159203
"RINCAODOSSOARES_015E",2022-02-11,"healthy",0.63823357226414,0.201473298524574,0.0423724380579519
"RINCAODOSSOARES_015E",2022-02-14,"healthy",0.63823357226414,0.201473298524574,0.0423724380579519
"RINCAODOSSOARES_015E",2022-02-16,"healthy",0.63823357226414,0.201473298524574,0.0423724380579519
"RINCAODOSSOARES_015E",2022-02-19,"healthy",0.63823357226414,0.201473298524574,0.0423724380579519
"RINCAODOSSOARES_015E",2022-03-01,"healthy",0.63823357226414,0.201473298524574,0.0423724380579519
"RINCAODOSSOARES_015E",2022-03-03,"healthy",0.63823357226414,0.201473298524574,0.0423724380579519
"RINCAODOSSOARES_016B",2022-02-11,"healthy",0.658116400419303,0.33722069938014,0.112441295105887
"RINCAODOSSOARES_016B",2022-02-14,"healthy",0.658116400419303,0.33722069938014,0.112441295105887
"RINCAODOSSOARES_016B",2022-02-16,"healthy",0.658116400419303,0.33722069938014,0.112441295105887
"RINCAODOSSOARES_016B",2022-02-19,"healthy",0.658116400419303,0.33722069938014,0.112441295105887
"RINCAODOSSOARES_016B",2022-03-01,"healthy",0.658116400419303,0.33722069938014,0.112441295105887
"RINCAODOSSOARES_016B",2022-03-03,"healthy",0.658116400419303,0.33722069938014,0.112441295105887
"RINCAODOSSOARES_016B",2022-03-21,"healthy",0.658116400419303,0.33722069938014,0.112441295105887
"RINCAODOSSOARES_016B",2022-03-28,"healthy",0.658116400419303,0.33722069938014,0.112441295105887
"RINCAODOSSOARES_016B",2022-03-31,"healthy",0.658116400419303,0.33722069938014,0.112441295105887
"RINCAODOSSOARES_016B",2022-04-02,"healthy",0.658116400419303,0.33722069938014,0.112441295105887
"RINCAODOSSOARES_016B",2022-04-15,"healthy",0.658116400419303,0.33722069938014,0.112441295105887
"RINCAODOSSOARES_016B",2022-04-20,"healthy",0.658116400419303,0.33722069938014,0.112441295105887
"RINCAODOSSOARES_016B",2022-04-30,"healthy",0.658116400419303,0.33722069938014,0.112441295105887
"RINCAODOSSOARES_016B",2022-05-07,"healthy",0.658116400419303,0.33722069938014,0.112441295105887
"RINCAODOSSOARES_016B",2022-05-20,"healthy",0.658116400419303,0.33722069938014,0.112441295105887
"RINCAODOSSOARES_016B",2022-05-22,"healthy",0.658116400419303,0.33722069938014,0.112441295105887
"RINCAODOSSOARES_016B",2022-06-11,"healthy",0.658116400419303,0.33722069938014,0.112441295105887
"RINCAODOSSOARES_016B",2022-06-19,"healthy",0.658116400419303,0.33722069938014,0.112441295105887
"RINCAODOSSOARES_016B",2022-08-18,"healthy",0.658116400419303,0.33722069938014,0.112441295105887
"RINCAODOSSOARES_016B",2022-08-20,"healthy",0.658116400419303,0.33722069938014,0.112441295105887
"RINCAODOSSOARES_016B",2022-08-30,"healthy",0.658116400419303,0.33722069938014,0.112441295105887
"RINCAODOSSOARES_026B",2022-02-11,"healthy",0.721625350890053,0.217889632624919,0.0553003296655601
"RINCAODOSSOARES_026B",2022-02-14,"healthy",0.721625350890053,0.217889632624919,0.0553003296655601
"RINCAODOSSOARES_026B",2022-02-16,"healthy",0.721625350890053,0.217889632624919,0.0553003296655601
"RINCAODOSSOARES_026B",2022-02-19,"healthy",0.721625350890053,0.217889632624919,0.0553003296655601
"RINCAODOSSOARES_026B",2022-03-01,"healthy",0.721625350890053,0.217889632624919,0.0553003296655601
"RINCAODOSSOARES_026B",2022-03-03,"healthy",0.721625350890053,0.217889632624919,0.0553003296655601
"RINCAODOSSOARES_026B",2022-03-21,"healthy",0.721625350890053,0.217889632624919,0.0553003296655601
"RINCAODOSSOARES_026B",2022-03-28,"healthy",0.721625350890053,0.217889632624919,0.0553003296655601
"RINCAODOSSOARES_026B",2022-03-31,"healthy",0.721625350890053,0.217889632624919,0.0553003296655601
"RINCAODOSSOARES_026B",2022-04-02,"healthy",0.721625350890053,0.217889632624919,0.0553003296655601
"RINCAODOSSOARES_026B",2022-04-15,"healthy",0.721625350890053,0.217889632624919,0.0553003296655601
"RINCAODOSSOARES_026B",2022-04-20,"healthy",0.721625350890053,0.217889632624919,0.0553003296655601
"RINCAODOSSOARES_026B",2022-04-30,"healthy",0.721625350890053,0.217889632624919,0.0553003296655601
"RINCAODOSSOARES_026B",2022-05-07,"healthy",0.721625350890053,0.217889632624919,0.0553003296655601
"RINCAODOSSOARES_026B",2022-05-20,"healthy",0.721625350890053,0.217889632624919,0.0553003296655601
"RINCAODOSSOARES_026B",2022-05-22,"healthy",0.721625350890053,0.217889632624919,0.0553003296655601
"RINCAODOSSOARES_026B",2022-06-11,"healthy",0.721625350890053,0.217889632624919,0.0553003296655601
"RINCAODOSSOARES_026B",2022-06-19,"healthy",0.721625350890053,0.217889632624919,0.0553003296655601
"SABIA_001C",2022-02-01,"healthy",0.663423394113344,0.202757760421494,0.0311530959089908
"SABIA_001C",2022-02-14,"healthy",0.663423394113344,0.202757760421494,0.0311530959089908
"SABIA_001C",2022-02-16,"healthy",0.663423394113344,0.202757760421494,0.0311530959089908
"SABIA_001C",2022-02-19,"healthy",0.663423394113344,0.202757760421494,0.0311530959089908
"SABIA_001C",2022-02-24,"healthy",0.663423394113344,0.202757760421494,0.0311530959089908
"SABIA_001C",2022-02-26,"healthy",0.663423394113344,0.202757760421494,0.0311530959089908
