TRAT	DAP	REP	Umidade	Condutividade	Altura	Caule	Folhas	Flor.m	Flor.f	Frutos	Bojo	Pesc	Comp.frutos	Peso.frutos				
PBRANCO	20	4	11.2	345	7.30	6.30	3	NA	NA	NA	NA	NA	NA	NA				
PBRANCO	20	4	12.1	363	6.50	7.80	4	NA	NA	NA	NA	NA	NA	NA				
PPRETO	20	1	12.4	370	13.70	8.20	4	NA	NA	NA	NA	NA	NA	NA				
PPRETO	20	1	13.6	394	13.20	7.70	4	NA	NA	NA	NA	NA	NA	NA				
PPRETO	20	1	12.9	380	12.50	5.60	4	NA	NA	NA	NA	NA	NA	NA				
PPRETO	20	1	12.6	364	19.00	7.80	5	NA	NA	NA	NA	NA	NA	NA				
PPRETO	20	1	13.1	384	9.80	6.70	3	NA	NA	NA	NA	NA	NA	NA				
PPRETO	20	1	13.2	386	14.20	8.40	4	NA	NA	NA	NA	NA	NA	NA				
PPRETO	20	1	12.7	365	7.30	4.30	3	NA	NA	NA	NA	NA	NA	NA				
PPRETO	20	1	12.2	366	12.10	6.90	5	NA	NA	NA	NA	NA	NA	NA				
PPRETO	20	1	13.9	400	7.20	5.00	3	NA	NA	NA	NA	NA	NA	NA				
PPRETO	20	1	12.4	370	5.70	4.60	3	NA	NA	NA	NA	NA	NA	NA				
PPRETO	20	2	12.4	370	6.30	4.00	4	NA	NA	NA	NA	NA	NA	NA				
PPRETO	20	2	12.4	370	12.40	8.20	6	NA	NA	NA	NA	NA	NA	NA				
PPRETO	20	2	13.6	394	11.40	7.70	6	NA	NA	NA	NA	NA	NA	NA				
PPRETO	20	2	13.2	386	11.90	8.70	5	NA	NA	NA	NA	NA	NA	NA				
PPRETO	20	2	13.4	390	8.50	5.80	3	NA	NA	NA	NA	NA	NA	NA				
PPRETO	20	2	13.6	394	10.00	8.60	5	NA	NA	NA	NA	NA	NA	NA				
PPRETO	20	2	13.9	399	22.00	8.50	4	NA	NA	NA	NA	NA	NA	NA				
PPRETO	20	2	12.8	378	15.00	8.60	4	NA	NA	NA	NA	NA	NA	NA				
PPRETO	20	2	11.7	354	10.20	7.50	5	NA	NA	NA	NA	NA	NA	NA				
PPRETO	20	2	13.8	377	10.50	7.70	4	NA	NA	NA	NA	NA	NA	NA				
PPRETO	20	3	13.4	390	8.90	7.80	4	NA	NA	NA	NA	NA	NA	NA				
PPRETO	20	3	13.0	381	9.60	6.20	4	NA	NA	NA	NA	NA	NA	NA				
PPRETO	20	3	13.2	385	14.00	8.40	7	NA	NA	NA	NA	NA	NA	NA				
