aluno,exito,tempo,grupo,curso,tentativa,exito_tentativa,vez_exito
a19,1,01:22,GP_1,3,20,0,15
a19,1,01:22,GP_1,3,21,NA,15
a19,1,01:22,GP_1,3,22,NA,15
a19,1,01:22,GP_1,3,23,NA,15
a19,1,01:22,GP_1,3,24,NA,15
a20,1,01:26,GP_1,3,1,0,2
a20,1,01:26,GP_1,3,2,1,2
a20,1,01:26,GP_1,3,3,0,2
a20,1,01:26,GP_1,3,4,1,2
a20,1,01:26,GP_1,3,5,0,2
a20,1,01:26,GP_1,3,6,0,2
a20,1,01:26,GP_1,3,7,0,2
a20,1,01:26,GP_1,3,8,0,2
a20,1,01:26,GP_1,3,9,0,2
a20,1,01:26,GP_1,3,10,1,2
a20,1,01:26,GP_1,3,11,1,2
a20,1,01:26,GP_1,3,12,0,2
a20,1,01:26,GP_1,3,13,1,2
a20,1,01:26,GP_1,3,14,1,2
a20,1,01:26,GP_1,3,15,1,2
a20,1,01:26,GP_1,3,16,1,2
a20,1,01:26,GP_1,3,17,1,2
a20,1,01:26,GP_1,3,18,1,2
a20,1,01:26,GP_1,3,19,0,2
a20,1,01:26,GP_1,3,20,1,2
a20,1,01:26,GP_1,3,21,NA,2
a20,1,01:26,GP_1,3,22,NA,2
a20,1,01:26,GP_1,3,23,NA,2
a20,1,01:26,GP_1,3,24,NA,2
a22,1,01:07,GP_1,3,1,0,10
a22,1,01:07,GP_1,3,2,0,10
a22,1,01:07,GP_1,3,3,0,10
a22,1,01:07,GP_1,3,4,0,10
a22,1,01:07,GP_1,3,5,0,10
a22,1,01:07,GP_1,3,6,0,10
a22,1,01:07,GP_1,3,7,0,10
a22,1,01:07,GP_1,3,8,0,10
a22,1,01:07,GP_1,3,9,0,10
a22,1,01:07,GP_1,3,10,1,10
a22,1,01:07,GP_1,3,11,1,10
a22,1,01:07,GP_1,3,12,0,10
a22,1,01:07,GP_1,3,13,1,10
a22,1,01:07,GP_1,3,14,1,10
a22,1,01:07,GP_1,3,15,1,10
a22,1,01:07,GP_1,3,16,1,10
a22,1,01:07,GP_1,3,17,1,10
a22,1,01:07,GP_1,3,18,1,10
a22,1,01:07,GP_1,3,19,1,10
a22,1,01:07,GP_1,3,20,1,10
a22,1,01:07,GP_1,3,21,NA,10
a22,1,01:07,GP_1,3,22,NA,10
a22,1,01:07,GP_1,3,23,NA,10
a22,1,01:07,GP_1,3,24,NA,10
a23,1,02:09,GP_1,3,1,0,11
a23,1,02:09,GP_1,3,2,0,11
a23,1,02:09,GP_1,3,3,0,11
a23,1,02:09,GP_1,3,4,0,11
a23,1,02:09,GP_1,3,5,0,11
a23,1,02:09,GP_1,3,6,0,11
a23,1,02:09,GP_1,3,7,0,11
a23,1,02:09,GP_1,3,8,0,11
a23,1,02:09,GP_1,3,9,0,11
a23,1,02:09,GP_1,3,10,0,11
a23,1,02:09,GP_1,3,11,1,11
a23,1,02:09,GP_1,3,12,0,11
a23,1,02:09,GP_1,3,13,0,11
a23,1,02:09,GP_1,3,14,0,11
a23,1,02:09,GP_1,3,15,1,11
a23,1,02:09,GP_1,3,16,0,11
a23,1,02:09,GP_1,3,17,1,11
a23,1,02:09,GP_1,3,18,1,11
a23,1,02:09,GP_1,3,19,0,11
a23,1,02:09,GP_1,3,20,1,11
a23,1,02:09,GP_1,3,21,NA,11
a23,1,02:09,GP_1,3,22,NA,11
a23,1,02:09,GP_1,3,23,NA,11
a23,1,02:09,GP_1,3,24,NA,11
a25,1,01:25,GP_1,3,1,0,13
a25,1,01:25,GP_1,3,2,0,13
a25,1,01:25,GP_1,3,3,0,13
a25,1,01:25,GP_1,3,4,0,13
a25,1,01:25,GP_1,3,5,0,13
a25,1,01:25,GP_1,3,6,0,13
a25,1,01:25,GP_1,3,7,0,13
a25,1,01:25,GP_1,3,8,0,13
a25,1,01:25,GP_1,3,9,0,13
a25,1,01:25,GP_1,3,10,0,13
a25,1,01:25,GP_1,3,11,0,13
a25,1,01:25,GP_1,3,12,0,13
a25,1,01:25,GP_1,3,13,1,13
a25,1,01:25,GP_1,3,14,0,13
a25,1,01:25,GP_1,3,15,1,13
a25,1,01:25,GP_1,3,16,0,13
a25,1,01:25,GP_1,3,17,1,13
a25,1,01:25,GP_1,3,18,1,13
a25,1,01:25,GP_1,3,19,1,13
a25,1,01:25,GP_1,3,20,1,13
a25,1,01:25,GP_1,3,21,NA,13
a25,1,01:25,GP_1,3,22,NA,13
a25,1,01:25,GP_1,3,23,NA,13
a25,1,01:25,GP_1,3,24,NA,13
a28,1,02:25,GP_C,4,1,0,13
a28,1,02:25,GP_C,4,2,0,13
a28,1,02:25,GP_C,4,3,0,13
a28,1,02:25,GP_C,4,4,0,13
a28,1,02:25,GP_C,4,5,0,13
a28,1,02:25,GP_C,4,6,0,13
a28,1,02:25,GP_C,4,7,0,13
a28,1,02:25,GP_C,4,8,0,13
a28,1,02:25,GP_C,4,9,0,13
a28,1,02:25,GP_C,4,10,0,13
a28,1,02:25,GP_C,4,11,0,13
a28,1,02:25,GP_C,4,12,0,13
a28,1,02:25,GP_C,4,13,1,13
a28,1,02:25,GP_C,4,14,1,13
a28,1,02:25,GP_C,4,15,0,13
a28,1,02:25,GP_C,4,16,0,13
a28,1,02:25,GP_C,4,17,0,13
a28,1,02:25,GP_C,4,18,0,13
a28,1,02:25,GP_C,4,19,0,13
a28,1,02:25,GP_C,4,20,0,13
a28,1,02:25,GP_C,4,21,1,13
a28,1,02:25,GP_C,4,22,1,13
a28,1,02:25,GP_C,4,23,NA,13
a28,1,02:25,GP_C,4,24,NA,13
a29,0,03:00,GP_C,4,1,0,0
a29,0,03:00,GP_C,4,2,0,0
a29,0,03:00,GP_C,4,3,0,0
a29,0,03:00,GP_C,4,4,0,0
a29,0,03:00,GP_C,4,5,0,0
a29,0,03:00,GP_C,4,6,0,0
a29,0,03:00,GP_C,4,7,0,0
a29,0,03:00,GP_C,4,8,0,0
a29,0,03:00,GP_C,4,9,0,0
a29,0,03:00,GP_C,4,10,0,0
a29,0,03:00,GP_C,4,11,0,0
a29,0,03:00,GP_C,4,12,0,0
a29,0,03:00,GP_C,4,13,0,0
a29,0,03:00,GP_C,4,14,0,0
a29,0,03:00,GP_C,4,15,0,0
a29,0,03:00,GP_C,4,16,0,0
a29,0,03:00,GP_C,4,17,0,0
a29,0,03:00,GP_C,4,18,0,0
a29,0,03:00,GP_C,4,19,0,0
a29,0,03:00,GP_C,4,20,0,0
a29,0,03:00,GP_C,4,21,0,0
a29,0,03:00,GP_C,4,22,0,0
a29,0,03:00,GP_C,4,23,0,0
a29,0,03:00,GP_C,4,24,NA,0
a30,1,01:20,GP_C,4,1,0,7
a30,1,01:20,GP_C,4,2,0,7
a30,1,01:20,GP_C,4,3,0,7
a30,1,01:20,GP_C,4,4,0,7
a30,1,01:20,GP_C,4,5,0,7
a30,1,01:20,GP_C,4,6,0,7
a30,1,01:20,GP_C,4,7,1,7
a30,1,01:20,GP_C,4,8,1,7
a30,1,01:20,GP_C,4,9,0,7
a30,1,01:20,GP_C,4,10,0,7
a30,1,01:20,GP_C,4,11,0,7
a30,1,01:20,GP_C,4,12,0,7
a30,1,01:20,GP_C,4,13,0,7
a30,1,01:20,GP_C,4,14,0,7
a30,1,01:20,GP_C,4,15,1,7
a30,1,01:20,GP_C,4,16,1,7
a30,1,01:20,GP_C,4,17,0,7
a30,1,01:20,GP_C,4,18,0,7
a30,1,01:20,GP_C,4,19,1,7
a30,1,01:20,GP_C,4,20,0,7
a30,1,01:20,GP_C,4,21,1,7
a30,1,01:20,GP_C,4,22,1,7
a30,1,01:20,GP_C,4,23,1,7
a30,1,01:20,GP_C,4,24,NA,7
a31,0,02:18,GP_C,4,1,1,1
a31,0,02:18,GP_C,4,2,0,1
a31,0,02:18,GP_C,4,3,0,1
a31,0,02:18,GP_C,4,4,0,1
a31,0,02:18,GP_C,4,5,0,1
a31,0,02:18,GP_C,4,6,0,1
a31,0,02:18,GP_C,4,7,0,1
a31,0,02:18,GP_C,4,8,1,1
a31,0,02:18,GP_C,4,9,1,1
a31,0,02:18,GP_C,4,10,0,1
a31,0,02:18,GP_C,4,11,0,1
a31,0,02:18,GP_C,4,12,0,1
a31,0,02:18,GP_C,4,13,0,1
a31,0,02:18,GP_C,4,14,0,1
a31,0,02:18,GP_C,4,15,0,1
a31,0,02:18,GP_C,4,16,0,1
a31,0,02:18,GP_C,4,17,0,1
a31,0,02:18,GP_C,4,18,0,1
a31,0,02:18,GP_C,4,19,1,1
a31,0,02:18,GP_C,4,20,1,1
a31,0,02:18,GP_C,4,21,1,1
a31,0,02:18,GP_C,4,22,1,1
a31,0,02:18,GP_C,4,23,NA,1
a31,0,02:18,GP_C,4,24,NA,1
a32,1,00:38,GP_C,4,1,0,3
a32,1,00:38,GP_C,4,2,0,3
a32,1,00:38,GP_C,4,3,1,3
a32,1,00:38,GP_C,4,4,0,3
a32,1,00:38,GP_C,4,5,0,3
a32,1,00:38,GP_C,4,6,0,3
a32,1,00:38,GP_C,4,7,1,3
a32,1,00:38,GP_C,4,8,1,3
a32,1,00:38,GP_C,4,9,1,3
a32,1,00:38,GP_C,4,10,0,3
a32,1,00:38,GP_C,4,11,1,3
a32,1,00:38,GP_C,4,12,1,3
a32,1,00:38,GP_C,4,13,1,3
a32,1,00:38,GP_C,4,14,1,3
a32,1,00:38,GP_C,4,15,1,3
a32,1,00:38,GP_C,4,16,1,3
a32,1,00:38,GP_C,4,17,1,3
a32,1,00:38,GP_C,4,18,1,3
a32,1,00:38,GP_C,4,19,1,3
a32,1,00:38,GP_C,4,20,1,3
a32,1,00:38,GP_C,4,21,1,3
a32,1,00:38,GP_C,4,22,1,3
a32,1,00:38,GP_C,4,23,NA,3
a32,1,00:38,GP_C,4,24,NA,3
a34,0,03:00,GP_C,4,1,0,6
a34,0,03:00,GP_C,4,2,0,6
a34,0,03:00,GP_C,4,3,0,6
a34,0,03:00,GP_C,4,4,0,6
a34,0,03:00,GP_C,4,5,0,6
a34,0,03:00,GP_C,4,6,1,6
