classe,x,y,cive,exg,exgr,exr,gli,iaf,ngrdi,ri,tgi,varig,vdvi,r,g,b
1,4.994.065.106,7.655.693.884,0.47430219,0.51330265,0.422946672,0.44445795,0.6109219,0.863281649,0.45562171,0.54437829,0.814534493,0.467088649,0.750715449,0.409922719,0.380140045,0.366221042
2,4.994.071.774,7.655.693.647,0.442127026,0.545077781,0.408154761,0.464129013,0.642703752,0.85639773,0.462382854,0.537617146,0.829324271,0.480417641,0.760081117,0.411534035,0.397163111,0.377312777
1,4.994.081.109,7.655.693.299,0.460973499,0.529547883,0.437769052,0.435867449,0.601943188,0.863041322,0.454169963,0.545830037,0.810996196,0.463504803,0.757830861,0.428433393,0.400350112,0.371506585
2,4.994.093.898,7.655.692.592,0.543019814,0.454414399,0.516865513,0.434492213,0.507196314,0.841799501,0.438073949,0.56192605,0.760808921,0.430551189,0.743907645,0.486268704,0.432378374,0.408999198
1,4.994.102.295,7.655.692.461,0.449514063,0.538324981,0.414865869,0.464663759,0.623472478,0.865670267,0.45888488,0.541115118,0.812290244,0.472900472,0.75808936,0.406495828,0.38146371,0.356804264
2,4.994.111.186,7.655.692.197,0.461078855,0.519614433,0.369929377,0.455509523,0.64906769,0.884658754,0.45478732,0.545212679,0.846666136,0.469382281,0.735273915,0.348872865,0.31740695,0.316804112
1,4.994.120.076,7.655.691.855,0.399827616,0.587219843,0.390183607,0.589172939,0.65954574,0.873430857,0.465075654,0.534924345,0.826120861,0.484919341,0.768942234,0.394143784,0.382016397,0.341854587
2,4.994.129.214,7.655.691.565,0.403811698,0.576504792,0.345421053,0.495252782,0.693353408,0.887544911,0.470431299,0.529568698,0.84917214,0.496712655,0.759377764,0.344031313,0.331702537,0.314271908
1,4.994.136.376,7.655.691.197,0.518188423,0.461621529,0.385726588,0.553515258,0.612204126,0.887342155,0.442913815,0.557086184,0.857169285,0.447477882,0.718046509,0.344612701,0.294524581,0.314879625
1,4.994.142.303,7.655.690.986,0.539480219,0.447658025,0.444692821,0.55424031,0.565712871,0.863899371,0.439132575,0.560867425,0.828743939,0.437313608,0.727961012,0.408957953,0.357713894,0.365911497
1,4.994.149.712,7.655.690.617,0.500884524,0.489977035,0.45578894,0.502265603,0.579472477,0.848164766,0.449354639,0.55064536,0.812346338,0.455554292,0.747494816,0.440916102,0.40636275,0.393343662
1,4.994.156.381,7.655.690.249,0.425203337,0.574266538,0.485888455,0.517472192,0.585194048,0.834833394,0.458321643,0.541678357,0.76355872,0.470144686,0.775071211,0.499702987,0.486656863,0.420915881
1,4.994.163.789,7.655.690.091,0.456709672,0.543112456,0.500626857,0.47515849,0.565680041,0.828339542,0.454796747,0.545203252,0.763464074,0.463580186,0.769301305,0.508870519,0.489644935,0.435460915
2,4.994.174.656,7.655.689.827,0.447931571,0.543959224,0.441863102,0.464213136,0.596877136,0.864251774,0.452052719,0.54794728,0.799198673,0.458651606,0.760068624,0.431224712,0.401633378,0.360763808
1,4.994.182.213,7.655.689.327,0.478695529,0.511384261,0.441152663,0.539350369,0.583425465,0.870197676,0.44591419,0.554085809,0.807108658,0.448369336,0.745491056,0.418152682,0.37810078,0.352369127
2,4.994.192.882,7.655.689.058,0.555419789,0.446103845,0.550002572,0.417927489,0.481533501,0.828178649,0.437851278,0.562148722,0.732315913,0.429346621,0.74704282,0.52289948,0.468760659,0.439119912
1,4.994.201.921,7.655.688.679,0.503807772,0.483855271,0.434909848,0.45364846,0.5947431,0.855855452,0.449341105,0.550658894,0.829117366,0.456373006,0.741793865,0.417088828,0.382055874,0.380137027
2,4.994.213.331,7.655.688.268,0.399233987,0.594423501,0.43552295,0.454006044,0.62626177,0.858302952,0.460106563,0.539893436,0.808318296,0.474705124,0.775390555,0.445803278,0.43464761,0.374394632
1,4.994.220.444,7.655.687.968,0.360187235,0.626587539,0.373241474,0.456554207,0.69243895,0.871423214,0.471179429,0.52882057,0.839107878,0.498228497,0.777167811,0.392892459,0.395779213,0.345121765
2,4.994.228.742,7.655.687.621,0.448316271,0.53042273,0.351580837,0.482040449,0.668658637,0.891198763,0.457519679,0.542480322,0.866442268,0.474497069,0.739713174,0.333307332,0.305997446,0.307345825
1,4.994.236.002,7.655.687.368,0.428559078,0.554436299,0.373578034,0.510790928,0.666198038,0.876616228,0.461717114,0.538282885,0.852747473,0.481348043,0.752878791,0.370448273,0.353897463,0.338532255
2,4.994.245.486,7.655.687.115,0.515150338,0.486519063,0.535460312,0.557096457,0.50749063,0.827356381,0.441745867,0.558254132,0.741942501,0.43677726,0.755337832,0.519770368,0.476768417,0.432562501
1,4.994.261.659,7.655.686.377,0.529862719,0.470156696,0.529748744,0.476960622,0.505795344,0.829608212,0.440258414,0.559741586,0.752004167,0.434282133,0.751039716,0.508063475,0.460510433,0.426247544
2,4.994.270.846,7.655.685.998,0.456793593,0.532527832,0.427911107,0.504181605,0.611436503,0.864782125,0.453808741,0.546191259,0.825616368,0.463612664,0.756246983,0.419191884,0.392592937,0.366193624
2,4.994.281.811,7.655.685.587,0.426695455,0.561123378,0.405655215,0.476130156,0.632988742,0.871864336,0.45730136,0.542698638,0.816460652,0.470804541,0.756583703,0.398421938,0.375254385,0.339851427
2,4.994.291.739,7.655.685.287,0.449684505,0.541056809,0.434570988,0.517325975,0.600549447,0.866892156,0.452757814,0.547242185,0.79428966,0.460961773,0.755031299,0.421480316,0.390509684,0.353236086
2,4.994.301.964,7.655.684.828,0.423995554,0.564532878,0.410069593,0.451349258,0.643429824,0.857198333,0.464363614,0.535636385,0.818280652,0.484239175,0.765691248,0.415558517,0.402798282,0.370359634
1,4.994.311.744,7.655.684.497,0.381913224,0.605775398,0.387646478,0.492278652,0.667250042,0.877690063,0.46869735,0.531302649,0.820352602,0.492173781,0.773785694,0.396402707,0.388607516,0.339795306
1,4.994.320.338,7.655.684.276,0.442765781,0.546175258,0.419131628,0.515725102,0.606612201,0.880941919,0.448977256,0.551022743,0.812866888,0.454082875,0.752749072,0.399150159,0.36381225,0.325701831
1,4.994.329.081,7.655.683.802,0.336674331,0.651313845,0.372077323,0.48121587,0.692131378,0.881395393,0.476264735,0.523735264,0.819772625,0.506237935,0.789691219,0.390409712,0.392286556,0.324900093
2,4.994.340.787,7.655.683.264,0.413618005,0.558627122,0.293330205,0.483929124,0.722626626,0.907055318,0.470249312,0.529750686,0.869532135,0.501272686,0.727986006,0.276994623,0.25700367,0.264786206
1,4.994.350.419,7.655.682.933,0.398788164,0.583815293,0.359360095,0.450328509,0.687367259,0.877665871,0.471291986,0.528708013,0.825417346,0.499663343,0.757739259,0.363758447,0.355003646,0.330135939
2,499.435.605,7.655.682.648,0.428311983,0.549396751,0.337293341,0.487107201,0.698742612,0.881710515,0.469089041,0.530910958,0.862207003,0.497304719,0.743925559,0.33443456,0.321645327,0.32483562
