"","simulation","distance","radius","error","tpvalue","sensitivity","specificity","accuracy","model","sill","range","sderror","stand"
"19728",86,35,15,0.006546645,0.883459,1,1,1,7,0.245393,17.75932,0.0002255444,"stand3"
"19729",86,35,17.5,0.0589198,0.1848112,1,1,1,7,0.2402167,16.85867,0.0005594082,"stand3"
"19730",86,35,20,0.009819967,0.8259141,1,1,1,7,0.2196527,16.25776,0.0008769521,"stand3"
"19731",86,40,10,0.3747954,9.107951e-19,1,1,1,4,0.2255752,13.4425,0.0002078264,"stand3"
"19732",86,40,12.5,-0.08837971,0.04952768,1,1,1,7,0.221568,21.42045,0.0007773862,"stand3"
"19733",86,40,15,0.06546645,0.1403597,1,1,1,7,0.1963337,22.80492,0.0002135101,"stand3"
"19734",86,40,17.5,0.1194763,0.006778564,1,1,1,7,0.2206233,17.50788,0.0005203708,"stand3"
"19735",86,40,20,0.1669394,0.000141108,1,1,1,7,0.2301581,17.66413,0.0004769786,"stand3"
"19736",86,45,10,0.1620295,0.0002226401,1,1,1,7,0.1973306,19.02338,0.0001426912,"stand3"
"19737",86,45,12.5,-0.2978723,5.351425e-11,1,1,1,7,0.2550863,14.55206,0.0003649423,"stand3"
"19738",86,45,15,0.3551555,6.834365e-17,1,1,1,2,0.1933925,15.40457,0.0003565808,"stand3"
"19739",86,45,17.5,-0.001636661,0.9707885,1,1,1,7,0.2493507,22.63202,0.0003490863,"stand3"
"19740",86,45,20,-0.0212766,0.6346169,1,1,1,7,0.2336261,14.47283,0.0003385685,"stand3"
"19741",86,50,10,0.5139116,6.523823e-36,1,1,1,3,0.2135489,54.4675,0.0001690192,"stand3"
"19742",86,50,12.5,0.5793781,1.139362e-46,1,1,1,7,0.2520575,16.15159,0.0006169666,"stand3"
"19743",86,50,15,0.1751227,6.408374e-05,1,1,1,7,0.2114641,19.02955,0.0007697525,"stand3"
"19744",86,50,17.5,0.3027823,1.78582e-12,1,1,1,7,0.2379591,17.82026,0.0004143753,"stand3"
"19745",86,50,20,0.2618658,1.400337e-09,1,1,1,7,0.1973976,17.04176,0.000372533,"stand3"
"19746",86,55,10,0.3469722,3.801775e-16,1,1,1,3,0.1532015,13.91941,0.000326952,"stand3"
"19747",86,55,12.5,-0.04418985,0.3245302,1,1,1,7,0.2603303,26.4434,0.0004964576,"stand3"
"19748",86,55,15,-0.1440262,0.001423729,1,1,1,4,0.1154049,39.6728,2.377395e-05,"stand3"
"19749",86,55,17.5,0.2356792,5.722593e-08,1,1,1,7,0.2407096,17.15635,0.0004344879,"stand3"
"19750",86,55,20,0.3306056,1.019575e-14,1,1,1,3,0.2204526,38.82657,0.001259518,"stand3"
"19751",86,60,10,-0.01963993,0.660848,1,1,1,7,0.2406574,30.68896,2.681772e-05,"stand3"
"19752",86,60,12.5,-0.09165303,0.04171887,1,1,1,7,0.2196842,20.08401,0.0002248525,"stand3"
"19753",86,60,15,0.2045827,2.742952e-06,1,1,1,7,0.2424805,15.26851,0.0003528578,"stand3"
"19754",86,60,17.5,-0.5220949,1.02514e-30,1,1,1,7,0.243974,44.50057,2.61353e-05,"stand3"
"19755",86,60,20,0.07201309,0.1045801,1,1,1,7,0.2401205,21.43194,0.0005198355,"stand3"
"19756",86,65,10,-0.7675941,2.136094e-66,1,1,1,7,0.2189454,48.11944,0.0001689403,"stand3"
"19757",86,65,12.5,-0.9279869,9.182473e-100,1,1,1,3,0.2271849,53.39729,0.0001174507,"stand3"
"19758",86,65,15,0.492635,8.177577e-33,1,1,1,7,0.2134232,38.78771,0.0003242975,"stand3"
"19759",86,65,17.5,-0.2160393,1.851112e-06,1,1,1,7,0.1886314,18.79265,0.0004047975,"stand3"
"19760",86,65,20,0.09165303,0.03843225,1,1,1,7,0.2273754,17.75601,0.000724803,"stand3"
"19761",86,70,10,-0.3224223,1.25697e-12,1,1,1,7,0.182514,26.85436,7.404974e-06,"stand3"
"19762",86,70,12.5,0.898527,1.614191e-132,1,1,1,4,0.2096591,14.40126,0.0002159005,"stand3"
"19763",86,70,15,0.3715221,1.907971e-18,1,1,1,7,0.08695501,64.95435,0.00010056,"stand3"
"19764",86,70,17.5,0.2389525,3.682487e-08,1,1,1,7,0.2443327,14.53201,0.0006296419,"stand3"
"19765",86,70,20,0.7037643,5.93289e-73,1,1,1,3,0.2018304,36.98786,0.0002871326,"stand3"
"19766",86,75,10,0.400982,1.832539e-21,1,1,1,7,0.1492077,21.69916,5.98557e-06,"stand3"
"19767",86,75,12.5,0.410802,1.557063e-22,1,1,1,7,0.2228735,55.90642,0.0002194505,"stand3"
"19768",86,75,15,0.4304419,8.913653e-25,1,1,1,3,0.01330537,14.39693,3.904446e-05,"stand3"
"19769",86,75,17.5,-0.06710311,0.1353236,1,1,1,7,0.2077255,23.34558,0.0002222748,"stand3"
"19770",86,75,20,0.4337152,3.656205e-25,1,1,1,4,0.1793712,11.5107,0.0006337953,"stand3"
"19771",86,80,10,-0.695581,3.43236e-54,1,1,1,7,0.2727353,222.4033,1.093367e-05,"stand3"
"19772",86,80,12.5,0.5744681,8.533243e-46,1,1,1,4,0.1710043,36.92103,7.451287e-05,"stand3"
"19773",86,80,15,-0.1211129,0.007234989,1,1,1,7,0.2629277,22.75993,3.563349e-05,"stand3"
"19774",86,80,17.5,0.3158756,1.677426e-13,1,1,1,4,0.215947,13.44209,0.0002743432,"stand3"
"19775",86,80,20,0.4648118,4.900462e-29,1,1,1,3,0.1973239,39.00739,0.0006094882,"stand3"
"19776",86,85,10,-0.2536825,2.229789e-08,1,1,1,7,0.2575621,93.83444,8.371492e-05,"stand3"
"19777",86,85,12.5,0.3486088,2.70771e-16,1,1,1,4,0.1442125,15.7286,0.0002578555,"stand3"
"19778",86,85,15,0.9328969,3.450861e-145,1,1,1,4,0.1624615,14.65667,0.00037287,"stand3"
"19779",86,85,17.5,-0.4599018,3.993879e-24,1,1,1,7,0.2338773,23.19286,0.0001526989,"stand3"
"19780",86,85,20,0.09983633,0.0239968,1,1,1,3,0.2237803,35.1051,0.0001485187,"stand3"
"19781",86,90,10,0.6219313,9.676479e-55,1,1,1,4,0.2040932,15.08823,0.0001049343,"stand3"
"19782",86,90,12.5,-0.2045827,6.239309e-06,1,1,1,3,0.2451238,120.333,0.0002742864,"stand3"
"19783",86,90,15,0.1145663,0.009466745,1,1,1,7,0.1213015,36.06082,8.880363e-05,"stand3"
"19784",86,90,17.5,0.4828151,1.908256e-31,1,1,1,7,0.2692522,25.28258,0.0004053648,"stand3"
"19785",86,90,20,0.4533552,1.441814e-27,1,1,1,7,0.2439366,22.17533,0.0004963319,"stand3"
"19786",86,95,10,0.9509002,5.972697e-152,1,1,1,3,0.1904472,21.18416,0.000304265,"stand3"
"19787",86,95,12.5,0.913257,6.738874e-138,1,1,1,7,0.06602824,28.53793,2.06115e-05,"stand3"
"19788",86,95,15,-0.1227496,0.006491565,1,1,1,7,0.1441297,64.24451,8.176426e-05,"stand3"
"19789",86,95,17.5,-0.2569558,1.471854e-08,1,1,1,7,0.1278558,103.4691,5.641649e-05,"stand3"
"19790",86,95,20,0.2684124,5.181999e-10,1,1,1,7,0.2442684,40.6587,9.009433e-05,"stand3"
"19791",86,100,10,0.2454992,1.495415e-08,1,1,1,3,0.278089,91.22313,4.01492e-05,"stand3"
"19792",86,100,12.5,0.3322422,7.40046e-15,1,1,1,7,0.1351296,17.06261,7.024584e-06,"stand3"
"19793",86,100,15,0.9378069,5.003164e-147,1,1,1,3,0.2363096,27.60218,0.0001255079,"stand3"
"19794",86,100,17.5,-0.2471358,5.041379e-08,1,1,1,7,0.3089422,77.45349,2.702967e-05,"stand3"
"19795",86,100,20,0.6366612,9.504371e-58,1,1,1,3,0.1042306,39.5547,0.0003116818,"stand3"
"19796",87,20,10,0.02454992,0.5818897,1,1,1,7,0.2165655,17.61409,0.0005171479,"stand3"
"19797",87,20,12.5,-0.0212766,0.6346169,1,1,1,7,0.2326424,17.26111,0.0004732012,"stand3"
"19798",87,20,15,-0.006546645,0.8835951,1,1,1,7,0.2262566,18.07066,0.001057105,"stand3"
"19799",87,20,17.5,0,1,1,1,1,7,0.2258487,17.46059,0.002851955,"stand3"
"19800",87,20,20,-0.001636661,0.9707885,1,1,1,7,0.2245841,17.28542,0.002549106,"stand3"
"19801",87,25,10,0.1734861,7.526406e-05,1,1,1,7,0.2132602,15.46424,0.0003236061,"stand3"
"19802",87,25,12.5,0.05728314,0.1973881,1,1,1,7,0.2180244,16.7008,0.0004516142,"stand3"
"19803",87,25,15,-0.05400982,0.2288962,1,1,1,7,0.2100364,17.17208,0.0003866962,"stand3"
"19804",87,25,17.5,-0.009819967,0.8262162,1,1,1,7,0.2266761,16.89956,0.001100101,"stand3"
"19805",87,25,20,0.01145663,0.7974557,1,1,1,7,0.2232322,18.0579,0.00141932,"stand3"
"19806",87,30,10,0.1440262,0.001060722,1,1,1,7,0.2208744,13.09938,0.0003744389,"stand3"
"19807",87,30,12.5,0.1636661,0.0001915218,1,1,1,7,0.1944974,17.90464,0.0004131157,"stand3"
"19808",87,30,15,0.0589198,0.1848112,1,1,1,3,0.2208744,37.87937,0.0006321802,"stand3"
"19809",87,30,17.5,-0.03436989,0.4431639,1,1,1,7,0.2290726,18.91499,0.001214158,"stand3"
"19810",87,30,20,-0.01636661,0.7145733,1,1,1,7,0.2217072,17.95846,0.001151731,"stand3"
"19811",87,35,10,-0.3191489,2.107573e-12,1,1,1,4,0.2414011,15.68439,7.585352e-05,"stand3"
"19812",87,35,12.5,0.1309329,0.002964955,1,1,1,3,0.2407527,33.62586,0.00108873,"stand3"
"19813",87,35,15,0.03600655,0.4188085,1,1,1,7,0.2006774,17.1216,0.0005428031,"stand3"
"19814",87,35,17.5,0.07528642,0.08961638,1,1,1,7,0.2041231,18.34031,0.0008266175,"stand3"
"19815",87,35,20,-0.01145663,0.7978634,1,1,1,7,0.2150454,15.54962,0.0009797388,"stand3"
"19816",87,40,10,-0.03600655,0.4218175,1,1,1,7,0.2286156,24.29324,0.0001460823,"stand3"
"19817",87,40,12.5,0.4811784,3.19828e-31,1,1,1,7,0.2141251,13.17014,0.0007167789,"stand3"
"19818",87,40,15,-0.05564648,0.2151554,1,1,1,7,0.2312309,23.21482,0.0005931865,"stand3"
"19819",87,40,17.5,0.1292962,0.003350468,1,1,1,7,0.2138426,18.65969,0.0002383793,"stand3"
