"STAND","COMPANY","SPACING","SPECIES","AGE","STATS","NDVI"
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",2,"MEAN",0.876556275033108
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",2,"SD",0.0520177093760531
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",2,"MIN",0.316166710910539
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",2,"MAX",0.939864695565021
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",2,"MEAN",0.896718607840735
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",2,"SD",0.0460195316821718
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",2,"MIN",0.339648173207037
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",2,"MAX",0.952345121645347
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",2,"MEAN",0.893715128582154
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",2,"SD",0.0452238498887202
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",2,"MIN",0.427998395507421
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",2,"MAX",0.948289578361177
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",2,"MEAN",0.904379650795361
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",2,"SD",0.0444362500011949
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",2,"MIN",0.466254962505514
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",2,"MAX",0.955030660913014
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",2,"MEAN",0.892428989383822
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",2,"SD",0.0500866700708666
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",2,"MIN",0.521958802953751
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",3,"MAX",0.952264108855677
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",3,"MEAN",0.913002327122185
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",3,"SD",0.0472160351953512
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",3,"MIN",0.555555555555556
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",3,"MAX",0.968826405867971
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",1,"MEAN",0.919933820529566
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",1,"SD",0.0461429901596881
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",1,"MIN",0.5875
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",1,"MAX",0.987126974839087
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",1,"MEAN",0.898080653220462
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",1,"SD",0.0479040491674992
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",1,"MIN",0.503475670307845
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",1,"MAX",0.955589200100934
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",1,"MEAN",0.904486335668942
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",1,"SD",0.0477255863756032
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",1,"MIN",0.495867768595041
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",1,"MAX",0.961802154750245
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",2,"MEAN",0.90620790454644
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",2,"SD",0.044034163525914
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",2,"MIN",0.522727272727273
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",2,"MAX",0.955532574974147
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",2,"MEAN",0.885059628081616
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",2,"SD",0.0524860567113559
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",2,"MIN",0.449768160741886
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",2,"MAX",0.944217359942294
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",2,"MEAN",0.870596644199357
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",2,"SD",0.0550937930368261
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",2,"MIN",0.436539556061468
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",2,"MAX",0.93373934226553
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",2,"MEAN",0.858260809425948
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",2,"SD",0.0583387651388001
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",2,"MIN",0.397508493771234
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",2,"MAX",0.925254190711734
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",2,"MEAN",0.392354486224452
"MA02ABOG1A","KLABIN","3.94x1.9","EUCALYPTUS",2,"SD",0.0708166949137875
